Prediction,GroundTruth,Text
neutral,neutral,"This can be replaced by:   MICODE  """
positive,positive,"Awesome, thanks dude"""
negative,negative,"yes, sure, thank you - copy and paste from go instead unit :("""
positive,positive,"This commit description makes me happy."""
neutral,neutral,"Here I think we just should just default to   MICODE   if no encoder is specified. No need for an extra setting."""
negative,negative," MMENTION something tells me """"censoring"""" would not go over well if we actually chose to do it. It's a bit annoying to try and be as transparent as possible and then get people asking you to censor them. """
neutral,neutral,"Hmmm... I think we should add a   MICODE   comment saying that   MICODE   is provided as a mutable list. (That's following the practice of commenting **why, not what**.) Or even better, transclude the jline docs -   MURL  """
neutral,neutral,"Read the commit message, please."""
positive,positive,"great update! thanks.."""
negative,negative,"It is not possible. :( may be, we can introduce a little **optional** coupling by allow the end user to give a translatorInterface to   MICODE    so from the controller   MICODE  """
negative,negative," MMENTION — no, still leaking :-("""
neutral,neutral,"Why is this being removed?  Thanks"""
positive,positive,"good catch.. yeah :)"""
positive,positive,"code is better than documentation :-)"""
positive,positive,"Oh what a hack. Perhaps you should spawn gameobject 202275 instead :P"""
negative,negative,"looks weird """
positive,positive,"Ohh nice :+1: """
negative,negative,"Seriously, stop commenting on commits for no serious reason - you're spamming all of these people:   MURL  """
positive,positive,"congrats!"""
neutral,neutral,"Why this change? (I don't see any mention in commit message about this)."""
neutral,neutral,"Did we loose something here?"""
neutral,neutral,"Ok - thanks for the info.   I've been running node v  MVERSIONNUMBER   with deps/uv patched with this since I sent the original query.  I looks only looks marginally better:  29271 ?        Ssl    0:02 Haraka (master) cn=2428 cc=0 cps=0/  MVERSIONNUMBER  /8 29273 ?        Sl   """
positive,positive,"Really... :smile: """
negative,negative,"I agree in principal, but the implementation is honestly a bit ugly and confusing, which is not your fault, just a byproduct of what you're trying to accomplish (  MURL  ).  I'm also not sure I agree that the """
positive,neutral,"good point, you found a missing test case; your UPDATE is not enough, though, due to the   MICODE   sickness it needs to use   MICODE   instead of   MICODE  .  BTW: is Double (and Float?) the only example of a violation of the equals/compareTo contract on the JVM whic"""
neutral,neutral,"As I previously said, I don't think we should whitelist TLDs. Just like we can not whitelist SLDs. It's too complex for the scope of this validator, people can complain all they want imo.."""
positive,positive,"That's better, thanks!"""
negative,negative,"Whoops, sorry. I'll fix."""
negative,negative,"this commit is going to make writing tests so much more difficult :("""
negative,negative,"After this is bugged pet react, they doesn't attack while has agressive or defensive react..."""
positive,positive,"Haha yeah this seems stupid but I got again the Name-bug here on Github. Ownestly the author was Beaste instead of Laise when I checked the first time. Well nevertheless we had a laugh :) Ofcourse I know laise from forum. Thanks and sorry for the interrupt"""
negative,negative,"No need to cast void * to other pointer type. Just declare ksearch as const pointer too.  It seems the code contains a lot of mess with type casting. :("""
positive,positive,"Nice, didn't know what to say about this argument in the tutorial :)"""
neutral,neutral,"I'm on both xbmc and xbmc-linux...   building right now..   -----Original Message-----  From: jimfcarroll Sent: Saturday, July 09, 2011 10:34 AM To:  MEMAIL Subject: Re: [xbmc] This is a fix for the CEventGroup deadlock. (1e1ff65)  MMENTION ar"""
positive,positive,"Oh! I think it will be my favorite commit :)"""
positive,positive,"+1 This looks super useful!"""
neutral,positive," MMENTION Pretty fast response for a Sunday morning. Do you mind sharing some details of the patch? Was it Rails related? """
positive,positive,"saw the ofSite PR, thanks :)  removing """"Element"""" might be enough. let's see if anyone else has a feeling for what makes the most sense.    MICODE  ` bool setElementToChild(int index); bool setElement(const string& path); bool setElementToParent(); bool se"""
neutral,neutral,"No, look at   MURL  . I need Lock to survive after function GetAndLockConverter, until UnlockConverter is called. This is the main reason for lock."""
neutral,neutral,"Any chance we can get definition duped on the way in? These deletes can cause some bizarre issues at times. See   MURL   for one fix."""
positive,positive,"Thanks a lot.  We will have to remove   MICODE   otherwise. :-)"""
positive,positive,"yup - I just did that. but unearthing some more potential bugs.  this is like a gift that keeps on giving ;)"""
negative,negative,"How annoying. I'm hoping to move away from storing configuration in the rakefile at some point soon. I don't like the idea that people have to deal with merge conflicts on their configurations. Sorry about that."""
negative,negative,"*sigh*.  I'll fix. :'("""
positive,positive," MMENTION don't worry, plugin authors can easily update their plugins, just like when a new minecraft version comes out :)"""
neutral,neutral,"It passes.  But instead, I included a test that is divorved from the standard library (ie, it doesn't depend on the signature of   MICODE  ). It was more convenient to test for an error due to failure to eliminate a tail call than to check for s"""
negative,negative,"this makes me totally sad."""
negative,negative,"There is something weird going on indeed. I managed to get the terrain shape but lighting is very odd.   And even with the original   MICODE   and standard materials I'm getting some lighting anomalies when poking around. I think there may be some b"""
positive,positive,"Thats in another context ;) We still do this kind of stuff here:   MURL    As otherwise we need to review the isSuccess() method if Result. """
neutral,neutral,"Yes, I'm ok with making DecoderInterface extend EncoderInterface, because that makes sense and clarifies how it is. The alternative is just more wasteful and complex for almost zero benefit (you still can implement an encoder/decoder that throws an except"""
negative,negative,"Ah crap.  Thanks for pointing this out"""
negative,negative,":( - IMO enter is far more often accidently hit"""
neutral,neutral,"How come we got same tests multiple times here?"""
neutral,neutral,"  MICODE   is a value, though, so maybe it'd be better to pass it using regular parentheses:   MICODE    MICODE    MICODE  """
positive,positive,"Gotta love auto-updating browsers :) What’s up with this commit though? What exactly do you mean by “no longer necessary with the release of Opera 11”? Older versions never existed?"""
negative,negative,"without working calendar in core-these dates will mislead the players. Since the date of the client are converted from DBC files :-(   MURL  """
negative,negative," MMENTION deleted comment? :("""
neutral,neutral,"Should the result of this deferred chaining map go into a new array instead of reassigning   MICODE  ?"""
negative,negative,"gah, sorry for the double post. /me fails at github"""
neutral,negative,"If there was an option for that people won't care to fix their shit... For instance, this is coming from   MICODE   sending undefined parameters. If we don't show that message chances are we would forget about it."""
negative,negative,"I think it's really bad, especially with PinnedDispatchers, since they create a new Dispatcher for every actor. We must fix this"""
neutral,neutral,"  MICODE   hash has   MICODE   objects as keys and not attribute names therefore   MICODE   (which returns   MICODE   for primary key) should be used instead of   MICODE   which is String."""
positive,positive,"Well, lets hope my skills are indeed sharp :)  And remember: mangos community is the only QA which our dev team has. So quality of this project is highly dependent on your participation in patch testing! If you miss your chance to report issues until patch"""
negative,negative,"I don't have a script. But I can do it for you if you wanna for a few minutes-hour.. P.S. I did not want to offend the author of script, but you should check at least how it works. =("""
negative,negative,"100% bug, shocked it wasn't caught before"""
positive,positive,"Thanks! Fixed. You think after all those code standards commits I would have caught this. :)"""
positive,positive,"Nice! I'll check this out when I get home :)"""
neutral,neutral,"yes, that would feel better, they are triggered by these watches, right?      systemGuardian.sendSystemMessage(Watch(guardian, systemGuardian))     rootGuardian.sendSystemMessage(Watch(systemGuardian, rootGuardian))  there is some initialization order to """
negative,negative,"evil is such a judgmental word. :("""
neutral,neutral,"Could add a comment where's this magic number coming from?"""
neutral,neutral,"Nothing there is related to this commit. I would guess you do not know what are you importing, mixing old character and world updates together."""
positive,positive,"+1 :D  I can't count times when I forget about adding multipart to forms ;-)"""
positive,negative,"Here's the fix to an issue I alerted the Plupload folks about.  Yay improved security! Lack of alerts from moxiecode to their customers regarding this issue...not so awesome... :/ Lack of credit to me for finding this (in the commit message, a tweet fro"""
neutral,neutral,"there is no live   MVERSIONNUMBER   anymore. these are the correct stats. trust me im doing the research"""
neutral,neutral,"  MICODE  ; this version should not be needed"""
neutral,neutral,"no reason to capture error"""
neutral,neutral,"Bizzy - yes. with Chaosua instruction work fine"""
neutral,neutral,"It's not much, but there is   MURL  """
positive,positive,"yea that's a nice script ty for fixing it :)"""
negative,negative,"I have no way to test. I do not have the XBMC dev environment setup. I have tried in the past, but could never get the dependencies correct to compile... Sorry :(  Im trying again now..."""
positive,positive,"Don't forget to remove that :)."""
neutral,neutral,"If you find a bug in a browser regarding this point, then please report it to the browser's bug tracker because that would be a violation of the spec. I'm not aware of any problem here. Did you encounter any issue or are we musing with hypothetics for the"""
positive,positive,"thank you very much :)"""
positive,positive,"Commit is dedicated to those how feel commits like this is always useless :D (we have a few of them around)"""
positive,positive,"I've just noticed all these   MICODE  s. Our static analyzer throws warnings against using non-  MICODE   for array offsets. It'd be great if we could switch these... Already enough warnings as it is. ^^"""
positive,positive,"Yeah, good point!"""
neutral,neutral,"No - but you can still do [[""""Set-Cookie"""", """"cookie1""""], [""""Set-Cookie"""", """"cookie2""""], ... ] Perhaps how you suggest is better though..."""
neutral,neutral,"Should be   MICODE  and   MICODE   as per the [coding conventions](  MURL    MVERSIONNUMBER  /en/contributing/cakephp-coding-conventions.html)"""
negative,negative,"Oops .. yeah, I overlooked that one. I've been using   MVERSIONNUMBER   for too long :bomb:"""
neutral,negative,"Wtf I thought I fixed that weeks ago..."""
neutral,neutral,"Not a diff parsing error. There's an extra 't' at the end of that hash."""
neutral,neutral,"In a number of situations we keep issuing more errors even though they are related/caused by the very first error. To avoid generating a lot of error messages we just pick the most specific one, i.e. the first one."""
neutral,neutral,"declare sendMessageCountHandler up to pas undefined and then declare it here"""
negative,negative,"sorry, I added a note to this, but got lost when I forced pushed an update...the update kept failing for me in the update tests until I moved it up. Have no idea why, and is a bit disconcerting... """
negative,negative,"Githubs eats my comments =("""
negative,negative,":( Not enough caffeine this morning. Fix coming shortly. One of those days already."""
neutral,neutral,"Please use the short class name in the phpdoc"""
positive,positive,"sounds good to me... i have no problem so long as vc90 stays for a while :)"""
positive,positive,"Well, in that world   MICODE   will work correctly too :)"""
neutral,neutral,"If you think something is a hack and it isn't documented as a hack, please ask about it.  The method should be called topLevelClassName, but as far as I know, its implementation is consistent with the Scala specification (assuming dealiasing).   If you kno"""
neutral,neutral," MMENTION can you elaborate on the problem you're facing that led you here? I am also ending up here and wondering why   MICODE   and   MICODE   aren't part of the default permitted parameters."""
neutral,neutral,"What do you mean by that? I mean the order is not violated as far as I see, only there are holes."""
neutral,negative,"Right now i doubt that this pays off.  Anything you really want to know?"""
negative,negative,"I'm assuming it breaks for people not on the latest versions of Apache.. I hate when people don't upgrade to latest versions :("""
negative,negative,"I kind of want to get rid of all of these... the smileys in particular look worse than ascii smileys."""
positive,positive,"+1 :D (i never used that)"""
positive,positive,"Awesome, thanks :)"""
positive,positive,"Was just working on that. Thanks :)"""
positive,positive,"That's fine.  Keep in mind there will be two new literals, Binary and Octal, but I doubt we'll have to worry about that anytime soon :)"""
neutral,neutral,"array_merge is not recursive - it will not even descend and process the problematic numeric array - that's why it 'passes' but the original purpose of the Hash::merge -- that is not fully clear to me anyway -- is probably not fulfilled by array_merge..."""
neutral,positive,"Yeah, that's the big advantage of using jQuery.each in Callbacks.add!"""
neutral,neutral,"This should be probably in some trait instead. One responsibility is getting the capacity values, while another one is assigning weights. WDYT?"""
positive,positive,"Thanks very much"""
negative,negative,"This is a silly decision that does not represent the majority of the rails community. Official plugin? Absolutely. Core? **No fucking way**."""
neutral,neutral,"For what it's worth, I retract my comment re downcase.include? vs regexp: I had erroneously assumed that a regexp was significantly costlier (both in object allocation and speed), and that regexps in Ruby were discouraged unless necessary for readability r"""
neutral,negative,"Yeah currently the end developer has to manage cookies between requests on the same client instance.  The more I think about it, the more that feels like a bad idea.  Once I'm done with the authentication strategies I'll implement a per instance cookie jar"""
positive,positive,"Good call on adding the wiki guides. :)"""
negative,neutral,"This makes the test pass (as all of the query forms used by the adapters are in IGNORED_SQL), but it renders it meaningless. There's no testing of the caching!"""
negative,negative,"Ah, I finally see -- you're setting the revision id params and overriding the page name param with the appropriate name. Coulda saved me a lot of time if you'd replied to Logans' and my comments with clarification! :("""
negative,negative,"So much annoying and useless dependency on ctype extension"""
neutral,positive,"IsPositiveSpell check needed ? I mean, you should never miss positive spell."""
negative,negative,"Arcane Blast"""" no stack :-("""
neutral,neutral,"Remove the """"=<cmd>"""" parts; it breaks """"brew audit"""". (Also: run """"brew audit"""".)"""
negative,negative,":( I'd rather like to see it replaced, not removed. Now it's a clear regression."""
positive,positive,"For one, TOM_RUS is a trusted member of the community to not just make stuff up. He is a very avid reverse engineer.  Two, YOU get to test it :)  Please feel free to open a Trac ticket if it isn't correct.  -- Brian"""
neutral,neutral,"Yes it is still possible, but note that both HttpPostRequestDecoder and HttpPostRequestEncoder have the HattpDataFactory as argument, which should be setup to use (or not use) this RFC conforming rule, since this is where (HttpDataFactory) this rule has t"""
neutral,neutral,"Couldn't catch in sniff this aura, but it should use aura as the quest version of that npc. In sniffs it was the gravity enabled, but I'm sure it uses that aura."""
negative,negative,"I use """"domain"""" as a query parameter throughout my application.  Do I need to modify every route, url_for, link_to, and redirect_to to use something different?  :-("""
neutral,neutral,"got a failure removing it:    MICODE  ` 1) Failure: test_0004_nested array with strings that should be hashes(NestedParametersTest) [/Users/guille/code/rails/actionpack/test/controller/parameters/nested_parameters_test.rb:68]: Expected nil (NilClass) to respond t"""
positive,positive,"Yeahhhhhhhhhhhhhhh thanks guys!!!!!!"""
neutral,neutral," MMENTION This should be:    MICODE    MICODE    MICODE    This avoids an invalid path on Windows.   Also spaces after or before parenthesis aren't preferred according to PEP8 which I believe MMENTION is trying to"""
positive,positive,":+1: :+1: :+1: Thanks MMENTION will keep that in mind! Would it make sense to turn   MICODE   on in all the ant build?"""
neutral,neutral,"Typo: should be """"that's only"""" """
neutral,neutral,"Has Derek signed the CLA?"""
neutral,neutral,"Right now, this is always 0.  Also, the list of arguments for the constructors is already quite long, so added something that is never used makes little sense to me."""
positive,positive,"Which method is """"faster"""" is hard to say as the JIT of course is very magical :)  But I'm not too concerned about that -- I'm more curious about your comment above:  """"Change all access or definition to HttpDataFactory to the new AbstractHttpDataFactory"""
negative,negative,"I actually see zero reasons to revert this commit except for """"I never said it should return boolean, so fuck you all and don't touch my code.""""  It won't hurt if predicate method returns boolean. It's actually a better practice since most people expect bo"""
neutral,negative,"hm, that is a bit vague indeed. Maybe it should just throw an invalidargumentexception instead? It doesn't make much sense to pass -5 or 10 as a value anyway. Allowing it only works confusing"""
positive,positive,"Stumbled on this quite a bit, good job. """
neutral,neutral,"and maybe do this only on server side - for avoid potential exploit"""
positive,positive,"Yeah, I noticed that too. I've only been playing the core about two days though so I wasn't ready to try and hack at that big script. At least the proper reference is there for someone in the future now lol."""
neutral,positive,"Yes! I'll do that.  On Fri, Sep 21, 2012 at 12:57 PM, Kevin Sawicki  MEMAIL  > In app/src/main/java/com/github/mobile/AuthorizationClient.java: > > >  MEMAIL -0,0 +1,68  MEMAIL > > +/* > > This class can be removed now right? > >"""
neutral,neutral,"oh, yeah that might be true. was thinking that we had exclusive access to both buffers. Perhaps thats not a valid assumption, might be driver related even? Anyways, if it is as you say and there is a chance its not exclusive its a small price to pay to ren"""
neutral,neutral,"Should we restore whatever value was previously set? Note: not the computed value, but the assigned value,   MICODE  ."""
neutral,neutral,"Should this function really be called ReloadRBAC, it doesn't actually reload anything. """
negative,negative,"Yeah, totally useless."""
neutral,neutral,"This wouldn't really break any security configurations I don't think.  The hinclude tags just wouldn't work until you changed the access control:      { path: ^/_internal, roles: IS_AUTHENTICATED_ANONYMOUSLY, ip:   MVERSIONNUMBER   }  to:      { path: ^/_internal/"""
neutral,neutral,"We still need to inject the locator, once we know we have a valid controller."""
negative,negative,"guess you arent trying hard enough...  listen i am not going to bicker with you or any other person replying to these commits.. I made a jackass of myself taunting the staff and for this I do solemnly apologize to the staff of mangos it will not occur ag"""
positive,positive," MEMAIL solved my only complaint with this commit, so thanks! I love you all <3"""
neutral,neutral,"That's the checksum gnome-developers have posted on their site with their tars. It's better using gnomes checksums than creating my own i believe..."""
negative,negative,"because I forgot to ammend them to the patch :( Thank you for noting and zergtmn for fixing."""
neutral,neutral,"According to the output of   MICODE  , this line should read      system """"make PREFIX=\""""#{prefix}\"""" MANDIR=\""""#{man}\"""" install"""""""
negative,negative,"  Is anyone getting tired of being called a lazy developer?  The way we were brought into this discussion was not very respectful.  Who does this commit allow to become lazy, anyway?..."""
negative,negative,"My bad! Fixed in 2fbcbe9."""
positive,positive,"nice to hear this, good job !"""
neutral,neutral,"extension added in 0270e90"""
neutral,neutral,"I have not tested in next."""
neutral,neutral,"The DBC is not often the law. Recall that were designed to work with client."""
negative,negative,"expire_after is what is already used internally... :( I am merging this!"""
neutral,positive,"ahaha :+1: """
positive,positive,"My congratulations :)"""
positive,positive,"I am sure my coworkers are quite pleased with this patch ;)"""
neutral,neutral,"  MICODE  """
positive,positive,"Nice name, buddy."""
positive,positive,"Finally after 1 year :dancers:  Thanks!"""
neutral,negative,"I believe this change could have some unintended consequences. Query.setup_joins() has an allow_explicit_fk parameter, and this change will likely break that code. (I haven't tested this, but seems likely...)"""
neutral,neutral,"I believe the correct parlance is """"instance initializer"""""""
positive,positive,"^^ Credit Whore :)"""
neutral,negative,"i keep getting segmentation fault o.0 wtf is causing that??"""
neutral,negative,"d'oh! that's one down. don't forget about """"mail"""" => """"male"""""""
neutral,neutral,"testing"""
neutral,neutral,"This should be encoded in the Open state and not in the breaker itself."""
positive,positive,"you can try to solve this issue and remove this hack :P all spells with this problem are channeled spells"""
neutral,neutral,"pull a _why and make everything as cryptic as possible, that's what good programmers do. job security ftw"""
neutral,neutral,"Ok switched to System.nanoTime()… Any other comments ?  Am   MVERSIONNUMBER   um 16:17 schrieb Trustin Lee  MEMAIL  > In src/main/java/org/jboss/netty/channel/socket/nio/AbstractNioWorker.java: >  > >  MEMAIL -220,7 +253,32  MEMAIL public void run"""
positive,positive,"Nice! :+1:"""
neutral,neutral,"I found that a lot of Formulas use git url. If taball is preferred then it is better to write a script that converts all git repos to tarballs+md5."""
positive,positive,"doc added, thanks"""
negative,negative,"What is dead may never die!"""
neutral,neutral,"Remember to update   MVERSIONNUMBER   branch so it supports   MVERSIONNUMBER   again!"""
negative,negative,"I miss C++ :("""
negative,negative," MMENTION You're not gonna believe this but ...   MURL   :sob:  They're going to try switching to a direct $.ajax call for the script but it ha"""
neutral,negative,"Did you absolutely mean to put a password in this commit?"""
positive,positive,"Why english or russian? Are we special? :P"""
positive,positive,"Great, thanks"""
neutral,neutral,"When MMENTION tuple matching optimization lands, or sooner if this method isn't called much:    MICODE  `scala (ftpe1, ftpe2) match {   case (MethodType(_, rtpe1), MethodType(_, rtpe2)) =>     rtpe1 <:< rtpe2 || rtpe2.typeSymbol == ObjectClass   case _ ="""
positive,positive,"Nice catch. Leftover from the evolved development :)"""
positive,positive,"Thanks a lot ^^"""
neutral,neutral,"Of course, if this is true, then we should be overwriting the whole URL string as well since that is a full strdup() of the original data and could also have the password information in it."""
neutral,neutral,"Since all of the cases where   MICODE   could have returned an error code are now handling by asserts, it should never fail (except by asserting), so I don't both to check the return value for < 0 anymore. Does that seem okay? """
negative,negative,"yeah i have that problem too on my server. :\"""
neutral,neutral,"Eclipse claims that this type violates the """"Unique Particle Attribution"""" principle for XML schemas.   MURL    Can we reformulate this type to avoid this?"""
positive,positive,"Fine, same is true for me thinking about Linux ;). End of OT then ^^."""
neutral,neutral,"Could simple unset them in CommandTask::getShellList from listing. TBH that is hacky at best. Using reflection to check for a attribute marking it as hidden would slow it down considerably but could be a clean way to do it."""
positive,positive,"This wouldn't work because getting responseText for a request fetching binary data throws an exception in IE9 :P"""
negative,negative,"Sorry, my """"It's IE's fault"""" alarm is probably stuck on the ON button :/"""
neutral,neutral,"Hi Viktor,  I'll change it back. I didn't know this was a recommended practice in Scala.  On Tue, Jul 19, 2011 at 3:12 PM, viktorklang <  MEMAIL  > I definitely prefer ADT over magic value > > -- > Reply to this email directly or view"""
neutral,neutral,"Fails in Chromium 1{4,5}, Firefox 6 when browser validation is on (with simple_form)   Input source:      <input class=""""string email required"""" id=""""user_email"""" maxlength=""""255"""" name=""""user[email]""""  MEMAIL placeholder=""""login"""
negative,negative,"For comments that have been deleted, see this comment:   MURL    > Calling someone a troll is unacceptable when your reasoning is solely that they disagree"""
neutral,neutral,"What do I need (what tool, settings, manual, knowledge) to get it fully working like authenticator?"""
neutral,neutral,"CS: need a space between operator and conditional."""
neutral,neutral,"well the problem is that """"datetime"""" also doesnt exist in english, it should be date in english too i guess, even if its not perfectly accurate i wouldn't know a more accurate word for it."""
neutral,neutral,"+1 on inject from me."""
neutral,neutral,"Wait, no MMENTION "
positive,neutral,"valid or real world relevant? :) again i think duplicating all encoder methods in the serializer to support decoders separately would be insane. if you have a separate encoder and decoder implementation for a format, then you can always wrap them in one c"""
neutral,neutral,"Same as everyone else. Debugging, and the occasional crazy hack."""
neutral,neutral,"Add a call to   MICODE    MICODE    MICODE   here to make sure we really start the new session. This will cause a new cookie to drop, but that is fine as long as our   MICODE    MICODE    MICODE   window is larger than our   MICODE    MICODE    MICODE  . Also, if we have"""
positive,positive,"Sounds good to me! Thanks."""
neutral,neutral," I agree with kaerast and I'd prefer not to put in these changes.. in general i want this .htaccess to be a set it and forget it thing.. but these in particular come with an expectation that you know what's going on..  I can see cases where the cookie f"""
neutral,neutral,"Don't use """"use_mirror"""" for sourceforge URLs, we like the automatic mirror selection."""
positive,positive,"nice, thanks ;)"""
positive,positive,"It seams to work at the first sight. I will do further tests, but it is an improvement of this patch.  All non-Win'er will thank you ;)"""
negative,positive,"Yeah. I think it's good to handle it but still complain. I simplified the message tho."""
negative,positive,"if i were github, i'd send this guy truckloads of flowers, booze and money for saving their asses. if MMENTION sold that exploit on a blackhat market, github -- and its paying customers -- would be in some really deep shit, maybe even on the brink of bankr"""
positive,positive,"Much better!!"""
neutral,neutral,"  MICODE   is supposed to be a protected method, but currently it's public because all the drivers use it for DB forge. There's a   MICODE   method (no underscore) that I believe exist solely for this purpose - can we use that i"""
negative,negative,":( so sad. I liked the hot pink"""
negative,negative,"abused as poor man’s option"""
negative,negative,"Don't forget, MMENTION that some plugins rely on these big NMS plugins.  This commit is killing a lot more than 10%.  About a third of my plugins use NMS or OBC code."""
neutral,negative,"WORST COMMIT EVER. THANKS OBAMA."""
positive,positive,"big thanks. but typo - controLLed, not controLed :)"""
positive,positive,"aaaaa okkk. Now i see. Thanks Vlad."""
neutral,neutral,"The   MICODE  security.interactive_login  MICODE   event is not dispatched by the kernel either, but it uses the same event dispatcher. Having several global event dispatchers adds overhead and makes things more complicated so it has only drawbacks."""
neutral,neutral,"L1179 is a filter condition. However, the things it can filter will only be returned by L1178; the base list generated in L1177 won't hit the trigger condition. So - L1177-9 shouldn't be reposed as:   MICODE  `     potential_clashes = rel_opts.get_all_related_m"""
neutral,neutral,"add       /**       * Zend Framework (  MURL  )       *       * MMENTION        MURL   for the canonical source repository       * MMENTION Copyright (c) 2005-2013 Zend Technologies USA Inc. (  MURL  """
negative,negative,"Uh oh, I didn't see that commit. Sorry for the noise :-("""
negative,negative,"bad joke"""
positive,positive,"I think that link is off, but I trust you. I didn't know we moved it."""
neutral,negative,"I think this is a hack, 3kid is right...   MVERSIONNUMBER   should be the dbc lava burst coef."""
positive,neutral,"Hash is unsorted and this was great way, how to be sure, that ordering was right. Any chance, this is going back?"""
negative,negative,"Terribly slow. If you want an alternative implementation:   MURL  """
neutral,neutral,"From running coverity, line 185:     for (Signature signature : packageInfo.signatures) {  android.os.Bundle.getByteArray(...) dereferenced while null"""
neutral,neutral,"That will also allow other sources (PATH and COOKIE). Sure you want to add those too?  Also   MICODE   is slow, as per the notice here:   MURL  . On the oth"""
neutral,neutral,"I think this is not necesary because buff is given by the mount. Also if you remove this line the """"fly hack"""" motion without mount is fixed. """
negative,negative,"Yeah I'm not happy with this consumer config in general. It just doesn't feel right. Should delegate of course, hacked together too quickly. It is used for default settings. But it is not correct. the consumerconfig is now also used when you have a produc"""
neutral,neutral,"Hm.  How about:      note.update_attributes(:unread => !! opts[:is_unread] )"""
neutral,negative,"Performance work you say. i18n lookups are 60 times slower than Hash access methods, dispatch process still relies on a lot of redundant wrappers around request. And you are doing performance work by removing 5 string instances in a method that is not nece"""
positive,positive,"true enough - already on it and will be fixed in next commit! Thank you for reporting!"""
neutral,negative,"With every color you add, I have to edit more."""
neutral,neutral,"Can we use the Ruby   MVERSIONNUMBER   hash syntax here?"""
neutral,neutral," MMENTION  What do you think about also commit this to   MVERSIONNUMBER   branch ? Its a low risk change, so I think we should do.   WDYT ?"""
neutral,neutral,"One assumes you're aware of the following:  Set<T> weakSet = Collections.newSetFromMap(new WeakHashMap<T,Boolean>));"""
neutral,negative,"DO NOT USE THIS EXCEPT INTERNALLY IN AKKA"""
negative,negative," MMENTION doesn't seem to be defined! :("""
positive,positive,"It's just getting better and better. Can't wait support for different player highguids. Thank you."""
negative,negative,"Seems after this Build is broken :-(  """
neutral,neutral,"workers are assigned to the   MICODE   by there uniqueID, this makes them very easy to find again. If we change this to an array people will get a lot of   MICODE   values in there for loop. Also i don't like to have method like   MICODE   that indi"""
positive,positive,"I'm just greedy -- could you please fix the link of the HTML file as well? it should be   MICODE   now; and also   MICODE   below  thanks :smile:"""
negative,negative,"Forgot a comment here :-("""
neutral,negative,"Not sure then. Regardless GCC isn't installed by Xcode   MVERSIONNUMBER   so it's not a suitable solution if we're adding it I'm afraid."""
positive,positive,"Thanks for making this test so much better!"""
positive,negative,"Honestly I prefer the original code, it's easier to read and has no excessively large lines of code"""
negative,negative,"Prints you can't silence are evil :("""
neutral,negative,"Well, I guess I'll be taking my leave like MMENTION  I need NBT and it's clear after more arguments that it will not be supported, probably along with an AI API and packet API.  Edit: MMENTION That was the reason why I was planning to include independent """
neutral,neutral,"  MURL    """"This macro is disabled if at the moment of including assert.h a macro with the name NDEBUG has already been defined. Therefore, this macro is designed to capture programming errors, not user o"""
neutral,negative,"  MICODE   is capitalized again.  I like   MICODE  . Also   MICODE   is better than   MICODE  . To me having all caps in my filenames feels somehow wrong."""
neutral,neutral,"Oops, I didn't mean to add   MICODE   to the public signature; I was thinking more like this:    MICODE    MICODE    MICODE  """
neutral,neutral,"All right, I'll fix it up."""
positive,positive," MMENTION great point! Why not just change it to look like this, though?    MICODE  `php $paths = array(   // for git clone  MEMAIL && cd phpunit && composer install   __DIR__ . '/../vendor',    // for composer install -"""
neutral,neutral,"This should check password_allow_blank for the specific class and not in Devise."""
neutral,neutral,"This and line 850 should be replaced with:      $output = trim(preg_replace(array('/\r/', '/\n+/'), """"\n"""", $output));"""
positive,positive,"Really appreciated this!"""
positive,positive,"in my opinion, a better solution is to write   MICODE   instead of having the if() at all, and when people ask for 1 points it still gives them 2 :) but this is fine as well."""
neutral,neutral,"Throw DecoderException"""
negative,negative,"What is the workaround for implication  MISSUEMENTION  ? ever since this update, just running   MICODE   fails :("""
negative,negative,"That's... really weird I'll fix it later"""
neutral,neutral,"Nevermind, I see that it's handled differently."""
neutral,neutral,"Well, the original plan was to have this in   MVERSIONNUMBER   and develop the migrations as a separate app that could then just be dumped into contrib, but it's become apparent that migrations are going to need more extensive integration into Django, so I'm not sure wh"""
neutral,neutral,"A constructor always return a class instance"""
positive,positive,"Didn't knew this when I wrote the last peace of code there regarding the """"gzip"""" encoding... thank you for clearing this out!! :)"""
neutral,neutral,"Why is this being removed? It's only a """"duplicate"""" to improve performance."""
neutral,neutral,"Wouldn't it be better to return directly from this instead of creating a new object        if ( parameters === undefined ) return; """
positive,positive,"I don't have sniff of this quest so I don't have any gossip info but I am trying to get it :)"""
negative,negative,"where is my avatar ? :("""
neutral,neutral,"I think this should only be accepted if the negotiated protocol version (pnode->nVersion, AFAIK) is below BIP0031_VERSION (60000).  EDIT: Wait, pong itself was only added in BIP0031.Which clients do reply with a 0 nonce? That sounds buggy..."""
negative,negative,"Yeah, what the crap is going on with that last line!  Let me fix that right now."""
negative,negative,"WTF?????"""
neutral,negative,"This makes things a little more complicated. I suppose I could move the modification to   MICODE  . Otherwise I'd have to clutter up   MICODE   really bad."""
negative,negative,"sorry -- I have been moving around machines and checked in code from windows machines, etc.   this is fsck -- full:   new-host-3:openFrameworks$ git fsck --full error in commit 4a136cc45b89fbeec99fc1020716de705490d3d3: invalid author/committer line - """
